FirstName,LastName,ADP_SF,Position,Y0_VORP,Y1_VORP,Y2_VORP,Y3_VORP,Y4_VORP,Y5_VORP,Y6_VORP,Y7_VORP,Y8_VORP,Y9_VORP,Y10_VORP,Y11_VORP,Y12_VORP,Y13_VORP,Y14_VORP,Y15_VORP,Y16_VORP,Y17_VORP,Y18_VORP,Y19_VORP,Y20_VORP
AJ,Dillon,115.7,RB,1.879505685,1.699762259,1.457364552,0.815201762,0.463249081,0.370347209,0.230801294,0.078131269,0.008071096,0.001253774,0,0,0,0,0,0,0,0,0,0,0
Samaje,Perine,153,RB,1.22372814,0.994674663,0.656533384,0.414389027,0.346010047,0.153438189,0.066878065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtland,Sutton,142.4,WR,1.393534664,1.050356953,0.628765333,0.640377682,0.332019803,0.124427497,0.011588308,0.034114018,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,Addison,55.8,WR,1.396864496,2.65889843,3.138493142,2.876428109,2.417067358,3.16517498,2.99357457,2.225828268,1.340743436,0.570213862,0.454304881,0.181106933,0.041023762,0.020542432,0,0,0,0,0,0,0
JuJu,Smith-Schuster,131.4,WR,1.307146264,1.311930181,0.927205577,0.649057855,0.412905661,0.261616516,0.046223106,0.064641339,0.00670952,0,0,0,0,0,0,0,0,0,0,0,0
Odell,Beckham,159.8,WR,1.363157895,1.277525488,0.85606508,0.64101793,0.504883309,0.249868783,0.117930685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalton,Schultz,130.1,TE,0,0.329697158,0.254476074,0.306751615,0.260332715,0.154755867,0,0.036348899,0,0.021939388,0.005388431,0,0,0,0,0,0,0,0,0,0
Cole,Kmet,132.5,TE,0,0.810081061,0.596948832,0.431770613,0.437221929,0.470800635,0.342526029,0.332443604,0.175719479,0.045072274,0.056558153,0.003489859,0.011474668,0,0,0,0,0,0,0,0
Brian,Robinson,122.4,RB,0.979754902,1.138193816,1.206875534,0.726761492,0.648596598,0.479528432,0.258690868,0.096503667,0.141884427,0.032225029,0.001570695,0,0,0,0,0,0,0,0,0,0
Antonio,Gibson,124.5,RB,0.726840336,1.235084482,0.962813814,0.424314775,0.345337973,0.378944511,0.282262022,0.080255067,0.022371095,0.003590795,0,0,0,0,0,0,0,0,0,0,0
Jamaal,Williams,151.4,RB,1.472763158,1.205062942,0.727397527,0.316245934,0.438074299,0.101370234,0.009792725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rondale,Moore,159.8,WR,1.578684211,2.108455807,1.854658568,2.366398557,2.315083652,1.910053891,1.364324914,1.278640322,0.607322848,0.600419491,0.520024964,0.139728265,0.276090732,0.250860809,0.227243681,0,0,0,0,0,0
DJ,Chark,193.1,WR,1.636719067,1.33747277,0.805983866,0.614008223,0.453932727,0.112429848,0.035496275,0.038992101,0.00620069,0.002420031,0,0,0,0,0,0,0,0,0,0,0
Gabe,Davis,123.6,WR,1.045588235,1.772174229,1.518144823,1.470649738,1.243767098,1.021457533,0.685921502,0.472927189,0.268035009,0.166683895,0.030536606,0,0.009082864,0,0,0,0,0,0,0,0
Darnell,Mooney,154.2,WR,0.77889916,1.163199639,1.057819847,0.635631904,0.469739515,0.254324,0.275345492,0.120428413,0.095010582,0.046381815,0.006954513,0,0,0,0,0,0,0,0,0,0
Skyy,Moore,143.2,WR,0.604411765,1.463285246,1.468270726,1.806152209,1.863258336,1.492230575,1.357440415,0.956482095,0.624409234,0.466394859,0.301583688,0.111687137,0.112947129,0.157038085,0.080521085,0,0,0,0,0,0
Tua,Tagovailoa,36.5,QB,3.131097809,1.97847054,2.610746303,2.359141981,1.907362131,2.424924142,2.724412741,3.137014982,3.419717574,2.735581202,2.521193046,2.894182802,2.779279664,0.909242928,0.553128012,0.440128258,0.327004372,0.11182995,0.225065132,0.246748464,0.099783654
